Category,File,Warning Type,Severity,Status,Assigned To,Notes
react/prop-types,client/src/components/nursery/NurseryBatchList.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/DashboardPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/InventoryPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/PondDetailPage.js,react/prop-types,Medium,TODO,,Add prop-types
react/prop-types,client/src/pages/PondsPage.js,react/prop-types,Medium,TODO,,Add prop-types
no-magic-numbers,client/src/utils/accessibility.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/cache.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/chartUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dataAggregation.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dataProcessing.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/dateUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/debugging.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/errorHandling.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/formatters.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/i18n.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/lazyLoading.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/offlineSync.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/optimizedDataStructures.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/responsiveUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/robustTesting.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/sanitization.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/secureStorage.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-magic-numbers,client/src/utils/testUtils.js,no-magic-numbers,Low,TODO,,Extract magic numbers to constants
no-unused-vars,client/src/utils/accessibility.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/api.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/cache.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/chartUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dataAggregation.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dataProcessing.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/dateUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/debugging.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/errorHandling.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/formatters.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/i18n.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/lazyLoading.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/offlineSync.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/optimizedDataStructures.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/optimizedImports.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/responsiveUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/robustTesting.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/rtlUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/sanitization.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/secureStorage.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/stateManagement.js,no-unused-vars,Low,TODO,,Remove unused variables
no-unused-vars,client/src/utils/testUtils.js,no-unused-vars,Low,TODO,,Remove unused variables
react-hooks/exhaustive-deps,client/src/utils/optimizedDataStructures.js,react-hooks/exhaustive-deps,High,TODO,,Fix hook dependencies
react-hooks/exhaustive-deps,client/src/utils/stateManagement.js,react-hooks/exhaustive-deps,High,TODO,,Fix hook dependencies
react/display-name,client/src/__tests__/DashboardPage.test.js,react/display-name,Low,TODO,,Add display names to components
max-lines,client/src/utils/optimizedDataStructures.js,max-lines,Medium,TODO,,Split into smaller files
max-lines,client/src/utils/propTypes.js,max-lines,Medium,TODO,,Split into smaller files
max-lines-per-function,client/src/utils/optimizedDataStructures.js,max-lines-per-function,Medium,TODO,,Split into smaller functions
